元年（公元前）,师訇簋,逆钟,元年师(方[𠂉史])簋,师虎簋,舀鼎（曶鼎）,伯吕盨,师([甘水]页)簋,裘卫盉,师遽簋盖,颂鼎/颂簋/颂壶/颂壶盖,达盨盖,(疒兴)盨,师酉盘,兮甲盘,五年师(方[𠂉史])簋,九年卫鼎,太师虘簋,走簋,大簋盖,十五年大鼎,趞曹鼎,伯克壶,士山盘,此鼎/此簋,(走马)鼎,走马休盘,庚嬴鼎,典簋,(彔见)簋,小盂鼎,伊簋,廿七年卫簋,(虎斤)簋,㝨鼎/㝨盘,吴盉,晋侯稣钟1,晋侯稣钟2,伯（窥）父盨,晋侯稣钟3,鲜簋,四十二年佐鼎,四十三年佐鼎
962,错月:0/0,,,,,,建正:0,,错月:0/0,,,,,,建正:0,,,失闰:0/*,,建正:0,建正:0,超闰:*/0,,,,失闰:0/*,错月:0/0,,,,建正:0,错月:0/0,建正:0,,错月:0/0,,超闰:*/0,,,,,
961,,建正:0,,错月:0/0,错月:0/0,,,,建正:0,建正:-1,,,建正:0,,,,,,错月:0/0,,,错月:0/0,,建正:0,错月:0/0,,建正:0,错月:0/0,错月:0/0,错月:0/0,超闰:*/0,错月:0/0,错月:0/0,,建正:0,建正:0,建正:0,,,,,错月:0/0
960,,建正:0,错月:0/0,错月:0/0,错月:0/0,超闰:*/0,,错月:0/0,,,错月:0/0,建正:0,建正:0,建正:+1,,,错月:0/0,,错月:0/0,,,建正:0,建正:0,建正:0,建正:0,,建正:0,建正:0,建正:0,错月:0/0,,,,建正:0,,建正:0,建正:0,,错月:+1/+1,建正:0,错月:0/0,建正:0
959,,错月:0/0,建正:0,超闰:*/0,失闰:0/*,建正:0,,错月:0/0,,,错月:0/0,错月:0/0,失闰:0/*,,建正:0,,建正:0,建正:0,建正:0,建正:0,,,建正:0,,超闰:*/0,建正:0,,建正:0,超闰:*/0,失闰:0/*,,,,错月:0/0,,,,,,错月:0/0,建正:0,
958,错月:0/0,,建正:0,,,建正:0,建正:0,建正:0,建正:0,,建正:0,错月:0/0,,,建正:0,,建正:0,建正:0,,建正:0,建正:0,,建正:0,,,建正:0,,,,,错月:0/0,,错月:0/0,错月:0/0,建正:0,,,建正:-1,,建正:0,建正:0,
957,错月:0/0,,,,,,建正:0,,建正:0,,,,,,错月:0/0,错月:0/+1,,建正:0,,建正:0,建正:0,建正:0,,,,建正:0,建正:0,,,,错月:0/0,建正:0,错月:0/0,,建正:0,,,,,,,
956,失闰:0/*,错月:0/0,,建正:0,建正:0,,,,建正:0,,,,错月:0/0,,,,,,建正:0,,失闰:0/*,建正:0,,错月:0/0,建正:0,,建正:0,,建正:0,建正:0,错月:0/0,建正:0,建正:0,,建正:0,建正:0,建正:0,,,,,建正:0
955,,错月:0/0,建正:0,建正:0,建正:0,,,建正:0,,,建正:0,错月:0/0,错月:0/0,错月:0/+1,,,,,建正:0,,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,失闰:0/*,错月:0/0,错月:0/0,建正:0,,,,超闰:*/0,,错月:0/0,错月:0/0,,建正:-1,错月:0/0,建正:0,错月:0/0
954,,错月:0/0,建正:0,建正:0,建正:0,建正:0,,建正:0,,,建正:0,建正:0,建正:0,,错月:0/0,,建正:0,建正:0,建正:0,错月:0/0,,,错月:0/0,错月:0/0,错月:0/0,建正:0,,错月:0/0,建正:0,建正:0,,,,错月:0/0,,失闰:0/*,建正:0,,,建正:0,错月:0/0,失闰:0/*
953,建正:0,,错月:0/0,,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,错月:0/0,建正:0,,,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,,,错月:0/0,,,,,错月:0/0,,建正:0,建正:0,,,,超闰:*/-1,,建正:0,错月:0/0,
952,建正:0,,,,,失闰:0/*,错月:0/0,,错月:0/0,,,,,,建正:0,建正:0,,错月:0/0,,错月:0/0,错月:0/0,,,,,错月:0/0,错月:0/0,,,,建正:0,错月:0/0,建正:0,,错月:0/0,,,,,,,
951,建正:0,建正:0,,错月:0/0,错月:0/0,,错月:0/0,,错月:0/0,,,,建正:0,,,,,,错月:0/0,,建正:0,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,,错月:0/0,建正:0,建正:0,错月:0/0,建正:0,,错月:0/0,错月:0/0,错月:0/0,,,,,错月:0/0
950,,建正:0,错月:0/0,错月:0/0,错月:0/0,,,超闰:*/0,,,错月:0/0,建正:0,建正:0,错月:-1/-1,,,,,错月:0/0,,,错月:0/0,超闰:*/0,建正:0,建正:0,,建正:0,错月:0/0,错月:0/0,错月:0/0,,错月:0/0,,,,建正:0,建正:0,,错月:-1/0,建正:0,超闰:*/0,错月:0/0
949,,建正:0,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,错月:0/0,,,错月:0/0,建正:0,建正:0,,建正:0,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,,建正:0,建正:0,建正:0,错月:0/0,,建正:0,建正:0,错月:0/0,,,,建正:0,,建正:0,失闰:0/*,,,建正:0,错月:0/0,建正:0
948,错月:0/0,,建正:0,,,建正:0,建正:0,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,,,建正:0,,建正:0,建正:0,,建正:0,建正:0,,建正:0,,,建正:0,,失闰:0/*,,,建正:0,,错月:0/0,错月:0/0,,,,,,失闰:0/*,建正:0,
947,错月:0/0,,,,,建正:0,建正:0,,建正:0,,,,,,建正:0,超闰:*/-1,失闰:0/*,建正:0,,建正:0,建正:0,,,,,建正:0,建正:0,,,,错月:0/0,建正:0,错月:0/0,建正:0,建正:0,,,,,,,
946,错月:0/0,,,超闰:*/0,错月:0/0,,建正:0,,建正:0,,,,建正:0,,,,,,错月:0/0,,错月:0/0,建正:0,,建正:0,建正:0,,建正:0,,建正:0,超闰:*/0,错月:0/0,建正:0,错月:0/0,,建正:0,建正:0,建正:0,,,,,建正:0
945,,错月:0/0,,建正:0,建正:0,,,,,建正:+1,超闰:*/0,超闰:*/0,错月:0/0,,,,,,建正:0,,,建正:0,,错月:0/0,建正:0,,建正:0,建正:0,建正:0,建正:0,,建正:0,,,建正:0,错月:0/0,错月:0/0,,,错月:0/0,,建正:0
944,,错月:0/0,建正:0,建正:0,建正:0,建正:0,,建正:0,,,建正:0,错月:0/0,错月:0/0,,超闰:*/0,,建正:0,,建正:0,,,失闰:0/*,错月:0/0,错月:0/0,错月:0/0,,,错月:0/0,错月:0/0,建正:0,,,,错月:0/0,,错月:0/0,错月:0/0,,,错月:0/0,建正:0,错月:0/0
943,错月:0/0,,建正:0,,,建正:0,建正:0,建正:0,,,建正:0,建正:0,,,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,,,建正:0,,失闰:0/*,,,,,超闰:*/0,错月:0/0,,,,,,建正:0,错月:0/0,
942,建正:0,,,,,错月:0/0,错月:0/0,,错月:0/0,,,,,,错月:0/0,,失闰:0/*,错月:0/0,,错月:0/0,错月:0/0,,,,,错月:0/0,超闰:*/0,,,,错月:0/0,建正:0,建正:0,失闰:0/*,错月:0/0,,,失闰:+1/*,,,,
941,建正:0,,,,,,错月:0/0,,错月:0/0,,,,,,,,,,,失闰:0/*,错月:0/0,错月:0/0,,超闰:*/0,超闰:*/0,,错月:0/0,,错月:0/0,,建正:0,错月:0/0,建正:0,,错月:0/0,错月:0/0,错月:0/0,,,,,错月:0/0
940,,建正:0,,错月:0/0,错月:0/0,,,,,错月:-1/0,,,建正:0,,,,,,错月:0/0,,,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,错月:0/0,建正:0,失闰:0/*,错月:0/0,,,失闰:0/*,错月:0/0,错月:0/0,,,,,错月:0/0
